symbol,total_trades,win_rate,profit_factor,net_pnl,max_dd,atr_mult,min_sl,tp1,tp2,adx,session,room2h
EURUSD,7,14.285714285714285,0.2314519267023516,-4655.206705353761,3.667392364008795,1.8,12.0,1.2,1.8,20.0,peak,True
EURUSD,3,33.33333333333333,0.6270687665870769,-772.1244840892614,1.0421562108630833,1.8,12.0,1.5,2.0,20.0,peak,True
EURUSD,8,25.0,0.29829365763119964,-3967.7015488565376,4.452804471233625,1.8,15.0,1.0,1.5,20.0,peak,True
EURUSD,7,14.285714285714285,0.1727359444381303,-4996.075747693132,4.0117929607929,1.8,15.0,1.2,1.8,20.0,peak,True
EURUSD,2,0.0,0.0,-2048.4205357729224,1.0335987336725962,1.8,15.0,1.5,2.0,20.0,peak,True
EURUSD,20,25.0,0.2874833902457608,-10661.95748095859,9.719032019961361,1.0,8.0,1.0,1.5,25.0,peak,False
EURUSD,20,20.0,0.2878961355577918,-11312.656274720954,10.376598665791859,1.0,8.0,1.2,1.8,25.0,peak,False
EURUSD,20,20.0,0.39271698973347113,-9708.867939504999,8.755883019290787,1.0,8.0,1.5,2.0,25.0,peak,False
EURUSD,20,25.0,0.2893315925281839,-10588.262244227953,9.644558961005089,1.0,10.0,1.0,1.5,25.0,peak,False
EURUSD,20,20.0,0.2885515284521346,-11240.68924021571,10.303872049508557,1.0,10.0,1.2,1.8,25.0,peak,False
EURUSD,20,20.0,0.34082485353438174,-10447.487309602526,9.50229820615808,1.0,10.0,1.5,2.0,25.0,peak,False
EURUSD,19,26.31578947368421,0.30876538482408594,-9542.003292728405,8.59019873707815,1.0,12.0,1.0,1.5,25.0,peak,False
EURUSD,19,21.052631578947366,0.3098870668375816,-10189.027684426736,9.244031158868342,1.0,12.0,1.2,1.8,25.0,peak,False
EURUSD,19,21.052631578947366,0.3814710499835334,-9170.025874676998,8.214307349958329,1.0,12.0,1.5,2.0,25.0,peak,False
EURUSD,18,27.77777777777778,0.3103201566965524,-8820.350000000297,7.867841681221559,1.0,15.0,1.0,1.5,25.0,peak,False
EURUSD,18,27.77777777777778,0.38650070126224934,-7873.650000000562,6.911251978581104,1.0,15.0,1.2,1.8,25.0,peak,False
EURUSD,18,27.77777777777778,0.440795408591759,-7190.70000000055,6.616100555594463,1.0,15.0,1.5,2.0,25.0,peak,False
EURUSD,19,26.31578947368421,0.3084240087491107,-9600.163427613108,8.653446424058094,1.2,8.0,1.0,1.5,25.0,peak,False
EURUSD,19,26.31578947368421,0.3152544786861594,-9499.565818231014,8.551795300964846,1.2,8.0,1.2,1.8,25.0,peak,False
EURUSD,19,21.052631578947366,0.36390838439057965,-9460.146392730443,8.511963053474664,1.2,8.0,1.5,2.0,25.0,peak,False
EURUSD,19,26.31578947368421,0.30906877824518925,-9574.02316682128,8.627032408021709,1.2,10.0,1.0,1.5,25.0,peak,False
