trade_id,symbol,direction,entry_time,entry_price,sl_price,tp1_price,tp2_price,current_sl,sl_dist,tp1_dist,tp2_dist,total_lots,part_lots,run_lots,tp1_hit,tp2_hit,be_hit,starting_balance,exit_time,exit_price,exit_reason,duration_m,partial_pnl,runner_pnl,commission,net_pnl,ending_balance,return_pct
73,XAUUSD,BUY,2026-08-07 12:30:00+00:00,4360.14,4336.708015442288,4392.944778380797,4411.690366026967,4336.708015442288,23.431984557712127,32.804778380796975,51.550366026966685,0.02,0.01,0.01,False,False,False,5312.160757972341,2026-08-07 14:00:00+00:00,4336.708015442288,SL,90.0,-23.43,-23.43,0.1,-46.96,5360.27,-0.8840093916495986
74,XAUUSD,BUY,2026-08-07 14:20:00+00:00,4351.58,4322.566401070136,4392.19903850181,4415.409917645701,4322.566401070136,29.01359892986403,40.61903850180964,63.829917645700874,0.02,0.01,0.01,False,False,False,5360.2712825002445,2026-08-09 22:00:00+00:00,4340.11,EOD_EXIT,3340.0,-11.47,-11.47,0.1,-23.04,5337.23,-0.4298289915888963
75,NAS100,BUY,2026-08-07 15:05:00+00:00,29657.1,29505.56190772389,29884.40713841416,29960.176184552212,29505.56190772389,151.53809227610702,227.30713841416053,303.07618455221404,0.04,0.02,0.02,False,False,False,5360.2712825002445,2026-08-09 22:00:00+00:00,29770.8,EOD_EXIT,3295.0,22.74,22.74,0.2,45.28,5382.51,0.8447333654142892
76,NAS100,BUY,2026-08-10 07:15:00+00:00,29838.3,29721.30649745082,30013.790253823765,30072.287005098355,29721.30649745082,116.9935025491778,175.4902538237667,233.9870050983556,0.05,0.03,0.02,False,False,False,5382.511282500244,2026-08-10 12:20:00+00:00,29721.30649745082,SL,305.0,-35.1,-23.4,0.25,-58.75,5323.76,-1.0914979442961779
77,NAS100,BUY,2026-08-10 14:05:00+00:00,29782.199999999997,29667.013037077137,29954.980444384288,30012.573925845714,29667.013037077137,115.18696292285942,172.78044438428913,230.37392584571884,0.05,0.03,0.02,False,False,False,5323.764531225655,2026-08-10 15:25:00+00:00,29667.013037077137,SL,80.0,-34.56,-23.04,0.25,-57.84,5265.92,-1.0864492533572645
78,XAUUSD,BUY,2026-08-10 14:25:00+00:00,4345.72,4324.057815882834,4376.047057764033,4393.3768050577655,4345.72,21.662184117166163,30.327057764032627,47.65680505776556,0.02,0.01,0.01,True,True,True,5323.764531225655,2026-08-10 19:30:00+00:00,4393.3768050577655,FULL_TP2,305.0,30.33,47.66,0.1,77.88,5343.8,1.462874617072333
79,NAS100,SELL,2026-08-10 19:50:00+00:00,29639.0,29757.796717150068,29460.8049242749,29401.40656569987,29757.796717150068,118.7967171500665,178.19507572509974,237.593434300133,0.04,0.02,0.02,False,False,False,5343.804912586024,2026-08-10 22:00:00+00:00,29680.8,EOD_EXIT,130.0,-8.36,-8.36,0.2,-16.92,5326.88,-0.3166283252621944
80,XAUUSD,BUY,2026-08-11 14:50:00+00:00,4395.49,4372.26657003988,4428.002801944168,4446.581545912263,4372.26657003988,23.22342996011989,32.51280194416785,51.09154591226376,0.02,0.01,0.01,False,False,False,5326.884912586024,2026-08-11 15:35:00+00:00,4372.26657003988,SL,45.0,-23.22,-23.22,0.1,-46.55,5280.34,-0.8738690766533105
81,XAUUSD,SELL,2026-08-11 20:15:00+00:00,4367.84,4390.131788919845,4336.631495512217,4318.79806437634,4390.131788919845,22.291788919845327,31.208504487783458,49.041935623659725,0.02,0.01,0.01,False,False,False,5280.338052665785,2026-08-11 22:00:00+00:00,4372.45,EOD_EXIT,105.0,-4.61,-4.61,0.1,-9.32,5271.02,-0.17650385083384554
83,NAS100,BUY,2026-08-12 14:20:00+00:00,29835.399999999998,29738.556180869393,29980.665728695905,30029.087638261208,29738.556180869393,96.84381913060511,145.26572869590768,193.68763826121022,0.05,0.03,0.02,False,False,False,5271.018052665785,2026-08-12 15:30:00+00:00,29738.556180869393,SL,70.0,-29.05,-19.37,0.25,-48.67,5222.35,-0.923351039850555
82,XAUUSD,BUY,2026-08-12 06:50:00+00:00,4401.53,4380.77057338255,4430.593197264429,4447.200738558389,4401.53,20.759426617449993,29.063197264429988,45.670738558389985,0.03,0.01,0.02,True,False,True,5271.018052665785,2026-08-12 16:55:00+00:00,4401.53,TP1_THEN_BE,605.0,29.06,0.0,0.15,28.91,5251.26,0.5484708971045725
84,NAS100,BUY,2026-08-12 16:35:00+00:00,29798.899999999998,29697.92333962718,29950.364990559225,30000.85332074563,29697.92333962718,100.97666037281753,151.4649905592263,201.95332074563507,0.05,0.03,0.02,False,False,False,5222.346143100483,2026-08-12 22:00:00+00:00,29723.2,EOD_EXIT,325.0,-22.71,-15.14,0.25,-38.1,5213.16,-0.7295571560367733
