trade_id,symbol,direction,entry_time,entry_price,sl_price,tp1_price,tp2_price,current_sl,sl_dist,tp1_dist,tp2_dist,total_lots,part_lots,run_lots,tp1_hit,tp2_hit,be_hit,starting_balance,exit_time,exit_price,exit_reason,duration_m,partial_pnl,runner_pnl,commission,net_pnl,ending_balance
52,GBPJPY,BUY,2026-02-18 19:55:00+00:00,208.987,208.7591642057062,209.26040295315252,209.39710442972878,208.7591642057062,0.22783579429377646,0.2734029531525317,0.41010442972879757,0.34,0.17,0.17,False,False,False,5731.38,2026-02-18 21:05:00+00:00,208.806,EOD_CLOSE,70.0,-20.05,-20.05,1.7,-41.79,5689.59
53,GBPJPY,SELL,2026-02-19 15:00:00+00:00,208.429,208.69343489617847,208.11167812458584,207.95301718687875,208.69343489617847,0.26443489617847793,0.3173218754141735,0.47598281312126023,0.29,0.14,0.15,False,False,False,5689.59,2026-02-19 19:30:00+00:00,208.69343489617847,SL,270.0,0.0,0.0,1.45,-51.45,5638.14
54,GBPJPY,BUY,2026-02-20 11:10:00+00:00,209.243,209.01426297411913,209.51748443105703,209.65472664658557,209.243,0.22873702588087222,0.2744844310570467,0.41172664658556996,0.34,0.17,0.17,True,False,False,5638.14,2026-02-20 14:00:00+00:00,209.65472664658557,FULL_TP2,170.0,30.4,45.6,1.7,74.3,5712.44
55,GBPJPY,BUY,2026-02-20 17:55:00+00:00,209.192,208.943188968463,209.49057323784442,209.63985985676663,208.943188968463,0.24881103153700806,0.29857323784440964,0.4478598567666145,0.31,0.15,0.16,False,False,False,5712.44,2026-02-20 20:55:00+00:00,208.943188968463,SL,180.0,0.0,0.0,1.55,-51.55,5660.89
56,GBPJPY,BUY,2026-02-24 06:10:00+00:00,209.88,209.68079233128825,210.1190492024541,210.23857380368116,209.88,0.19920766871175277,0.23904920245410333,0.35857380368115493,0.39,0.2,0.19,True,False,False,5660.89,2026-02-24 06:30:00+00:00,210.23857380368116,FULL_TP2,20.0,31.15,44.39,1.95,73.58,5734.48
57,GBPJPY,BUY,2026-02-24 11:15:00+00:00,210.332,210.06108583153784,210.6570970021546,210.81964550323187,210.332,0.27091416846215916,0.325097002154591,0.48764550323188643,0.28,0.14,0.14,True,False,False,5734.48,2026-02-24 14:40:00+00:00,210.81964550323187,FULL_TP2,205.0,29.65,44.48,1.4,72.73,5807.21
58,GBPJPY,BUY,2026-02-24 20:30:00+00:00,210.392,210.16658479016888,210.66249825179733,210.797747377696,210.16658479016888,0.22541520983111313,0.2704982517973357,0.4057473776960036,0.34,0.17,0.17,False,False,False,5807.21,2026-02-24 21:05:00+00:00,210.237,EOD_CLOSE,35.0,-17.17,-17.17,1.7,-36.03,5771.17
59,GBPJPY,BUY,2026-02-25 15:10:00+00:00,211.804,211.54200155953302,212.1183981285604,212.2755971928406,211.54200155953302,0.26199844046698956,0.31439812856038746,0.47159719284058116,0.29,0.14,0.15,False,False,False,5771.17,2026-02-25 21:05:00+00:00,211.927,EOD_CLOSE,355.0,11.22,12.02,1.45,21.79,5792.96
60,GBPJPY,SELL,2026-02-26 19:15:00+00:00,210.562,210.82153745860495,210.2505550496741,210.09483257451112,210.82153745860495,0.2595374586049435,0.31144495032593217,0.4671674254888982,0.3,0.15,0.15,False,False,False,5792.96,2026-02-26 21:05:00+00:00,210.487,EOD_CLOSE,110.0,7.33,7.33,1.5,13.16,5806.12
61,GBPJPY,SELL,2026-02-27 14:50:00+00:00,209.938,210.18493025495374,209.64168369405547,209.49352554108322,210.18493025495374,0.24693025495375875,0.29631630594451047,0.44447445891676574,0.31,0.15,0.16,False,False,False,5806.12,2026-02-27 17:30:00+00:00,210.18493025495374,SL,160.0,0.0,0.0,1.55,-51.55,5754.57
